lat,lon,date,rainfall_24,slope,drainage,vegetation,disruption,district,state,location_name,elevation_m
27.23333,94.11667,2021-08-25,89.4,2.25,2.13,0.57,1,Lakhimpur,Assam,"North Lakhimpur, district headquarters area",100.0
27.001,94.26191,2021-08-25,124.2,0.6,2.54,0.44,1,Majuli,Assam,Majuli district reference point,100.0
26.24908,92.34764,2021-08-25,90.2,1.13,1.93,0.52,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.35037,92.692253,2021-08-25,110.8,1.4,1.75,0.56,1,Nagaon,Assam,Nagaon district reference point,100.0
26.5,91.4,2021-08-25,114.6,1.08,1.94,0.55,1,Nalbari,Assam,Nalbari district reference point,100.0
26.984,94.637,2021-08-25,84.2,1.06,1.85,0.59,1,Sivasagar,Assam,Sivasagar/Sibsagar district reference,100.0
26.767484,92.964249,2021-08-25,156.1,3.57,1.81,0.65,1,Sonitpur,Assam,Sonitpur district reference point,100.0
25.70893,89.88867,2021-08-25,77.9,0.61,2.6,0.5,1,South Salmara Mancachar,Assam,South Salmara Mancachar district reference point,100.0
26.30795,90.9971,2021-08-30,131.9,0.9,2.22,0.58,1,Barpeta,Assam,Barpeta district reference point,100.0
26.30795,90.9971,2021-08-30,118.1,0.98,2.21,0.58,1,Barpeta,Assam,Barpeta district reference point,100.0
26.72464,93.14531,2021-08-30,132.7,3.53,1.87,0.65,1,Biswanath,Assam,Biswanath district reference point,100.0
24.83333,92.77889,2021-08-30,137.4,2.3,1.97,0.64,1,Cachar,Assam,"Silchar, district headquarters",100.0
26.525265,90.490662,2021-08-30,87.6,5.29,1.81,0.67,1,Chirang,Assam,Chirang district reference point,100.0
26.51195,92.16843,2021-08-30,137.5,1.47,1.81,0.57,1,Darrang,Assam,Darrang district reference point,100.0
27.483333,94.583333,2021-08-30,132.5,2.91,2.18,0.59,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
26.067486,90.022375,2021-08-30,118.2,0.76,2.34,0.49,1,Dhubri,Assam,Dhubri district reference point,100.0
27.4728,94.912,2021-08-30,131.8,1.02,1.82,0.57,1,Dibrugarh,Assam,Dibrugarh district headquarters,100.0
26.4092,93.91193,2021-08-30,85.1,1.31,1.72,0.6,1,Golaghat,Assam,Golaghat district reference point,100.0
26.8,94.26,2021-08-30,139.9,0.98,1.83,0.54,1,Jorhat,Assam,Jorhat district reference point,100.0
26.184907,91.6786,2021-08-30,92.3,1.82,1.73,0.53,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
25.83333,93.43333,2021-08-30,128.0,13.75,1.46,0.69,1,Karbi Anglong,Assam,"Diphu, district headquarters area",100.0
27.23333,94.11667,2021-08-30,154.1,2.9,2.32,0.57,1,Lakhimpur,Assam,"North Lakhimpur, district headquarters area",100.0
27.001,94.26191,2021-08-30,99.5,0.68,2.75,0.44,1,Majuli,Assam,Majuli district reference point,100.0
26.24908,92.34764,2021-08-30,139.1,1.05,2.1,0.52,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.24908,92.34764,2021-08-30,77.5,0.92,2.04,0.53,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.35037,92.692253,2021-08-30,135.1,1.02,1.78,0.57,1,Nagaon,Assam,Nagaon district reference point,100.0
26.5,91.4,2021-08-30,112.3,0.9,1.89,0.56,1,Nalbari,Assam,Nalbari district reference point,100.0
26.984,94.637,2021-08-30,112.4,0.88,1.73,0.6,1,Sivasagar,Assam,Sivasagar/Sibsagar district reference,100.0
26.767484,92.964249,2021-08-30,168.7,3.85,1.65,0.65,1,Sonitpur,Assam,Sonitpur district reference point,100.0
25.70893,89.88867,2021-08-30,77.7,0.77,2.44,0.51,1,South Salmara Mancachar,Assam,South Salmara Mancachar district reference point,100.0
26.30795,90.9971,2021-08-31,154.0,1.3,2.09,0.58,1,Barpeta,Assam,Barpeta district reference point,100.0
26.72464,93.14531,2021-08-31,139.2,3.91,1.85,0.65,1,Biswanath,Assam,Biswanath district reference point,100.0
26.4603,90.6464,2021-08-31,137.2,1.45,1.8,0.6,1,Bongaigaon,Assam,Bongaigaon district reference point,100.0
26.525265,90.490662,2021-08-31,177.5,4.16,1.97,0.67,1,Chirang,Assam,Chirang district reference point,100.0
26.51195,92.16843,2021-08-31,104.1,1.12,2.01,0.57,1,Darrang,Assam,Darrang district reference point,100.0
27.483333,94.583333,2021-08-31,193.6,2.41,2.38,0.59,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
26.067486,90.022375,2021-08-31,96.0,0.74,2.47,0.49,1,Dhubri,Assam,Dhubri district reference point,100.0
27.4728,94.912,2021-08-31,146.3,1.22,1.86,0.57,1,Dibrugarh,Assam,Dibrugarh district headquarters,100.0
26.16667,90.61667,2021-08-31,131.5,1.64,1.76,0.54,1,Goalpara,Assam,Goalpara town/district reference,100.0
26.4092,93.91193,2021-08-31,118.8,1.9,1.63,0.59,1,Golaghat,Assam,Golaghat district reference point,100.0
26.8,94.26,2021-08-31,152.2,1.26,1.68,0.54,1,Jorhat,Assam,Jorhat district reference point,100.0
26.184907,91.6786,2021-08-31,80.1,1.87,1.56,0.53,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
26.053749,92.007631,2021-08-31,152.3,2.98,1.51,0.5,1,Kamrup Metro,Assam,Kamrup Metropolitan district reference point,100.0
27.23333,94.11667,2021-08-31,148.2,2.13,2.22,0.58,1,Lakhimpur,Assam,"North Lakhimpur, district headquarters area",100.0
27.001,94.26191,2021-08-31,131.7,0.5,2.72,0.44,1,Majuli,Assam,Majuli district reference point,100.0
26.24908,92.34764,2021-08-31,146.2,0.89,2.16,0.53,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.24908,92.34764,2021-08-31,96.3,1.02,2.17,0.54,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.35037,92.692253,2021-08-31,154.9,1.35,1.95,0.58,1,Nagaon,Assam,Nagaon district reference point,100.0
26.5,91.4,2021-08-31,103.8,1.1,2.06,0.57,1,Nalbari,Assam,Nalbari district reference point,100.0
26.984,94.637,2021-08-31,142.2,1.16,1.85,0.6,1,Sivasagar,Assam,Sivasagar/Sibsagar district reference,100.0
26.767484,92.964249,2021-08-31,171.3,3.93,1.69,0.66,1,Sonitpur,Assam,Sonitpur district reference point,100.0
25.70893,89.88867,2021-08-31,111.6,0.65,2.4,0.51,1,South Salmara Mancachar,Assam,South Salmara Mancachar district reference point,100.0
26.30795,90.9971,2021-09-01,109.3,0.92,1.98,0.58,1,Barpeta,Assam,Barpeta district reference point,100.0
26.30795,90.9971,2021-09-01,65.3,0.91,1.99,0.58,1,Barpeta,Assam,Barpeta district reference point,100.0
26.72464,93.14531,2021-09-01,133.1,3.23,1.73,0.64,1,Biswanath,Assam,Biswanath district reference point,100.0
26.4603,90.6464,2021-09-01,90.2,1.43,1.68,0.58,1,Bongaigaon,Assam,Bongaigaon district reference point,100.0
26.525265,90.490662,2021-09-01,112.9,5.09,1.89,0.65,1,Chirang,Assam,Chirang district reference point,100.0
26.51195,92.16843,2021-09-01,106.4,1.5,1.99,0.55,1,Darrang,Assam,Darrang district reference point,100.0
27.483333,94.583333,2021-09-01,81.9,3.12,2.42,0.58,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
26.067486,90.022375,2021-09-01,109.4,0.82,2.56,0.48,1,Dhubri,Assam,Dhubri district reference point,100.0
27.4728,94.912,2021-09-01,80.9,1.11,1.98,0.55,1,Dibrugarh,Assam,Dibrugarh district headquarters,100.0
26.16667,90.61667,2021-09-01,98.2,1.31,1.88,0.53,1,Goalpara,Assam,Goalpara town/district reference,100.0
26.4092,93.91193,2021-09-01,101.3,1.32,1.72,0.59,1,Golaghat,Assam,Golaghat district reference point,100.0
26.8,94.26,2021-09-01,76.1,1.0,1.72,0.54,1,Jorhat,Assam,Jorhat district reference point,100.0
26.184907,91.6786,2021-09-01,109.9,1.85,1.54,0.54,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
26.053749,92.007631,2021-09-01,70.6,3.58,1.43,0.51,1,Kamrup Metro,Assam,Kamrup Metropolitan district reference point,100.0
27.23333,94.11667,2021-09-01,130.3,2.9,2.11,0.59,1,Lakhimpur,Assam,"North Lakhimpur, district headquarters area",100.0
27.001,94.26191,2021-09-01,94.3,0.68,2.6,0.46,1,Majuli,Assam,Majuli district reference point,100.0
27.001,94.26191,2021-09-01,85.9,0.62,2.66,0.47,1,Majuli,Assam,Majuli district reference point,100.0
26.24908,92.34764,2021-09-01,108.1,0.9,2.12,0.56,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.35037,92.692253,2021-09-01,60.1,1.01,1.96,0.59,1,Nagaon,Assam,Nagaon district reference point,100.0
26.5,91.4,2021-09-01,108.2,0.91,2.12,0.58,1,Nalbari,Assam,Nalbari district reference point,100.0
26.984,94.637,2021-09-01,85.7,0.9,1.95,0.61,1,Sivasagar,Assam,Sivasagar/Sibsagar district reference,100.0
26.767484,92.964249,2021-09-01,118.1,3.9,1.81,0.66,1,Sonitpur,Assam,Sonitpur district reference point,100.0
25.70893,89.88867,2021-09-01,104.1,0.78,2.51,0.5,1,South Salmara Mancachar,Assam,South Salmara Mancachar district reference point,100.0
26.30795,90.9971,2021-09-02,59.8,1.3,2.05,0.57,1,Barpeta,Assam,Barpeta district reference point,100.0
26.72464,93.14531,2021-09-02,118.7,3.88,1.7,0.63,1,Biswanath,Assam,Biswanath district reference point,100.0
26.4603,90.6464,2021-09-02,64.2,1.43,1.58,0.57,1,Bongaigaon,Assam,Bongaigaon district reference point,100.0
26.525265,90.490662,2021-09-02,109.1,4.1,1.74,0.64,1,Chirang,Assam,Chirang district reference point,100.0
26.51195,92.16843,2021-09-02,84.2,1.11,1.82,0.54,1,Darrang,Assam,Darrang district reference point,100.0
27.483333,94.583333,2021-09-02,86.3,2.43,2.28,0.57,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
26.067486,90.022375,2021-09-02,94.4,0.75,2.49,0.47,1,Dhubri,Assam,Dhubri district reference point,100.0
27.4728,94.912,2021-09-02,54.7,1.24,1.99,0.55,1,Dibrugarh,Assam,Dibrugarh district headquarters,100.0
26.16667,90.61667,2021-09-02,91.9,1.65,1.97,0.53,1,Goalpara,Assam,Goalpara town/district reference,100.0
26.4092,93.91193,2021-09-02,77.1,1.9,1.87,0.59,1,Golaghat,Assam,Golaghat district reference point,100.0
26.8,94.26,2021-09-02,77.3,1.25,1.89,0.55,1,Jorhat,Assam,Jorhat district reference point,100.0
26.184907,91.6786,2021-09-02,91.8,1.85,1.69,0.55,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
26.184907,91.6786,2021-09-02,55.0,1.64,1.63,0.55,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
26.053749,92.007631,2021-09-02,94.4,2.73,1.48,0.53,1,Kamrup Metro,Assam,Kamrup Metropolitan district reference point,100.0
27.23333,94.11667,2021-09-02,86.0,2.13,2.09,0.61,1,Lakhimpur,Assam,"North Lakhimpur, district headquarters area",100.0
27.001,94.26191,2021-09-02,84.4,0.55,2.53,0.48,1,Majuli,Assam,Majuli district reference point,100.0
26.24908,92.34764,2021-09-02,87.2,1.04,1.95,0.56,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.24908,92.34764,2021-09-02,64.5,1.16,1.99,0.57,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.35037,92.692253,2021-09-02,94.9,1.4,1.85,0.6,1,Nagaon,Assam,Nagaon district reference point,100.0
26.5,91.4,2021-09-02,59.5,1.07,2.06,0.58,1,Nalbari,Assam,Nalbari district reference point,100.0
26.984,94.637,2021-09-02,89.8,1.03,1.95,0.6,1,Sivasagar,Assam,Sivasagar/Sibsagar district reference,100.0
26.767484,92.964249,2021-09-02,101.0,3.48,1.87,0.65,1,Sonitpur,Assam,Sonitpur district reference point,100.0
25.70893,89.88867,2021-09-02,73.3,0.6,2.61,0.49,1,South Salmara Mancachar,Assam,South Salmara Mancachar district reference point,100.0
26.30795,90.9971,2021-09-03,83.3,0.91,2.17,0.55,1,Barpeta,Assam,Barpeta district reference point,100.0
26.72464,93.14531,2021-09-03,50.2,3.27,1.81,0.61,1,Biswanath,Assam,Biswanath district reference point,100.0
26.4603,90.6464,2021-09-03,83.4,1.44,1.66,0.55,1,Bongaigaon,Assam,Bongaigaon district reference point,100.0
24.83333,92.77889,2021-09-03,63.1,2.34,1.86,0.59,1,Cachar,Assam,"Silchar, district headquarters",100.0
26.525265,90.490662,2021-09-03,88.8,5.3,1.73,0.62,1,Chirang,Assam,Chirang district reference point,100.0
26.51195,92.16843,2021-09-03,79.7,1.45,1.79,0.53,1,Darrang,Assam,Darrang district reference point,100.0
27.483333,94.583333,2021-09-03,62.3,2.85,2.22,0.56,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
26.067486,90.022375,2021-09-03,84.9,0.75,2.42,0.47,1,Dhubri,Assam,Dhubri district reference point,100.0
27.4728,94.912,2021-09-03,54.2,1.01,1.93,0.56,1,Dibrugarh,Assam,Dibrugarh district headquarters,100.0
26.16667,90.61667,2021-09-03,77.3,1.32,1.93,0.55,1,Goalpara,Assam,Goalpara town/district reference,100.0
26.16667,90.61667,2021-09-03,74.2,1.41,1.96,0.55,1,Goalpara,Assam,Goalpara town/district reference,100.0
26.4092,93.91193,2021-09-03,59.1,1.67,1.87,0.62,1,Golaghat,Assam,Golaghat district reference point,100.0
26.8,94.26,2021-09-03,84.4,1.26,1.89,0.58,1,Jorhat,Assam,Jorhat district reference point,100.0
26.184907,91.6786,2021-09-03,44.7,2.1,1.7,0.58,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
26.053749,92.007631,2021-09-03,81.9,3.56,1.54,0.56,1,Kamrup Metro,Assam,Kamrup Metropolitan district reference point,100.0
27.23333,94.11667,2021-09-03,83.9,2.54,2.13,0.63,1,Lakhimpur,Assam,"North Lakhimpur, district headquarters area",100.0
27.001,94.26191,2021-09-03,67.4,0.54,2.54,0.49,1,Majuli,Assam,Majuli district reference point,100.0
26.24908,92.34764,2021-09-03,81.7,0.81,1.93,0.57,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.35037,92.692253,2021-09-03,45.0,1.02,1.75,0.59,1,Nagaon,Assam,Nagaon district reference point,100.0
26.5,91.4,2021-09-03,84.4,0.96,1.94,0.57,1,Nalbari,Assam,Nalbari district reference point,100.0
26.984,94.637,2021-09-03,58.7,1.05,1.84,0.59,1,Sivasagar,Assam,Sivasagar/Sibsagar district reference,100.0
26.767484,92.964249,2021-09-03,93.0,4.29,1.8,0.63,1,Sonitpur,Assam,Sonitpur district reference point,100.0
25.70893,89.88867,2021-09-03,77.1,0.8,2.6,0.47,1,South Salmara Mancachar,Assam,South Salmara Mancachar district reference point,100.0
26.30795,90.9971,2021-09-04,47.9,1.24,2.22,0.53,1,Barpeta,Assam,Barpeta district reference point,100.0
26.72464,93.14531,2021-09-04,93.7,3.54,1.91,0.6,1,Biswanath,Assam,Biswanath district reference point,100.0
26.4603,90.6464,2021-09-04,43.4,1.29,1.78,0.54,1,Bongaigaon,Assam,Bongaigaon district reference point,100.0
26.525265,90.490662,2021-09-04,88.0,3.73,1.87,0.62,1,Chirang,Assam,Chirang district reference point,100.0
26.51195,92.16843,2021-09-04,62.4,1.12,1.86,0.53,1,Darrang,Assam,Darrang district reference point,100.0
27.483333,94.583333,2021-09-04,69.7,2.63,2.21,0.56,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
26.067486,90.022375,2021-09-04,73.5,0.83,2.33,0.48,1,Dhubri,Assam,Dhubri district reference point,100.0
26.16667,90.61667,2021-09-04,35.2,1.66,1.73,0.55,1,Goalpara,Assam,Goalpara town/district reference,100.0
26.4092,93.91193,2021-09-04,73.6,1.9,1.66,0.61,1,Golaghat,Assam,Golaghat district reference point,100.0
26.8,94.26,2021-09-04,55.5,1.24,1.76,0.57,1,Jorhat,Assam,Jorhat district reference point,100.0
26.184907,91.6786,2021-09-04,62.6,1.82,1.67,0.57,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
26.053749,92.007631,2021-09-04,70.3,2.91,1.62,0.55,1,Kamrup Metro,Assam,Kamrup Metropolitan district reference point,100.0
27.23333,94.11667,2021-09-04,54.7,2.11,2.31,0.63,1,Lakhimpur,Assam,"North Lakhimpur, district headquarters area",100.0
26.24908,92.34764,2021-09-04,75.0,0.82,2.17,0.57,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.24908,92.34764,2021-09-04,47.6,0.92,2.15,0.57,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.35037,92.692253,2021-09-04,68.2,1.26,1.9,0.6,1,Nagaon,Assam,Nagaon district reference point,100.0
26.767484,92.964249,2021-09-04,81.7,4.3,1.75,0.65,1,Sonitpur,Assam,Sonitpur district reference point,100.0
25.70893,89.88867,2021-09-04,52.0,0.8,2.44,0.5,1,South Salmara Mancachar,Assam,South Salmara Mancachar district reference point,100.0
26.30795,90.9971,2021-09-05,64.4,1.24,2.0,0.56,1,Barpeta,Assam,Barpeta district reference point,100.0
26.4603,90.6464,2021-09-05,29.1,1.41,1.58,0.57,1,Bongaigaon,Assam,Bongaigaon district reference point,100.0
26.525265,90.490662,2021-09-05,77.8,4.02,1.74,0.64,1,Chirang,Assam,Chirang district reference point,100.0
26.51195,92.16843,2021-09-05,49.1,1.11,1.83,0.54,1,Darrang,Assam,Darrang district reference point,100.0
27.483333,94.583333,2021-09-05,61.7,2.44,2.29,0.57,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
26.16667,90.61667,2021-09-05,62.1,1.42,1.9,0.53,1,Goalpara,Assam,Goalpara town/district reference,100.0
26.4092,93.91193,2021-09-05,29.5,1.69,1.84,0.59,1,Golaghat,Assam,Golaghat district reference point,100.0
26.184907,91.6786,2021-09-05,64.5,2.05,1.77,0.53,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
26.053749,92.007631,2021-09-05,41.6,3.7,1.66,0.5,1,Kamrup Metro,Assam,Kamrup Metropolitan district reference point,100.0
27.23333,94.11667,2021-09-05,69.5,2.77,2.28,0.58,1,Lakhimpur,Assam,"North Lakhimpur, district headquarters area",100.0
26.24908,92.34764,2021-09-05,58.0,1.01,2.08,0.53,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.24908,92.34764,2021-09-05,38.0,0.88,2.02,0.54,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.35037,92.692253,2021-09-05,64.9,1.0,1.77,0.57,1,Nagaon,Assam,Nagaon district reference point,100.0
26.767484,92.964249,2021-09-05,41.7,3.27,1.64,0.64,1,Sonitpur,Assam,Sonitpur district reference point,100.0
25.70893,89.88867,2021-09-05,60.4,0.66,2.38,0.5,1,South Salmara Mancachar,Assam,South Salmara Mancachar district reference point,100.0
26.30795,90.9971,2021-09-06,40.5,1.16,2.01,0.58,1,Barpeta,Assam,Barpeta district reference point,100.0
26.525265,90.490662,2021-09-06,44.5,5.18,1.8,0.68,1,Chirang,Assam,Chirang district reference point,100.0
26.51195,92.16843,2021-09-06,48.9,1.5,1.91,0.59,1,Darrang,Assam,Darrang district reference point,100.0
27.483333,94.583333,2021-09-06,25.2,3.06,2.37,0.62,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
26.16667,90.61667,2021-09-06,48.9,1.5,1.96,0.58,1,Goalpara,Assam,Goalpara town/district reference,100.0
26.4092,93.91193,2021-09-06,35.3,1.41,1.87,0.64,1,Golaghat,Assam,Golaghat district reference point,100.0
26.184907,91.6786,2021-09-06,40.7,1.51,1.75,0.57,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
26.053749,92.007631,2021-09-06,46.4,2.76,1.61,0.53,1,Kamrup Metro,Assam,Kamrup Metropolitan district reference point,100.0
27.23333,94.11667,2021-09-06,33.3,2.36,2.2,0.59,1,Lakhimpur,Assam,"North Lakhimpur, district headquarters area",100.0
26.24908,92.34764,2021-09-06,50.0,1.07,2.0,0.52,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.24908,92.34764,2021-09-06,29.4,1.17,1.95,0.52,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.35037,92.692253,2021-09-06,44.9,1.4,1.73,0.54,1,Nagaon,Assam,Nagaon district reference point,100.0
26.767484,92.964249,2021-09-06,53.4,4.19,1.64,0.6,1,Sonitpur,Assam,Sonitpur district reference point,100.0
26.525265,90.490662,2021-09-07,32.0,4.5,1.77,0.62,1,Chirang,Assam,Chirang district reference point,100.0
26.51195,92.16843,2021-09-07,39.6,1.17,1.88,0.53,1,Darrang,Assam,Darrang district reference point,100.0
27.483333,94.583333,2021-09-07,22.0,2.41,2.34,0.57,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
27.4728,94.912,2021-09-07,38.3,1.03,1.99,0.57,1,Dibrugarh,Assam,Dibrugarh district headquarters,100.0
26.16667,90.61667,2021-09-07,30.0,1.43,1.97,0.56,1,Goalpara,Assam,Goalpara town/district reference,100.0
26.4092,93.91193,2021-09-07,30.2,1.7,1.87,0.62,1,Golaghat,Assam,Golaghat district reference point,100.0
26.184907,91.6786,2021-09-07,38.2,2.06,1.74,0.57,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
26.053749,92.007631,2021-09-07,17.8,3.69,1.59,0.55,1,Kamrup Metro,Assam,Kamrup Metropolitan district reference point,100.0
26.24908,92.34764,2021-09-07,39.7,1.13,2.03,0.57,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.24908,92.34764,2021-09-07,25.4,1.0,1.97,0.57,1,Marigaon,Assam,Marigaon district headquarters,100.0
26.35037,92.692253,2021-09-07,34.1,1.07,1.74,0.6,1,Nagaon,Assam,Nagaon district reference point,100.0
26.767484,92.964249,2021-09-07,44.5,3.21,1.63,0.66,1,Sonitpur,Assam,Sonitpur district reference point,100.0
